name,hq_city,hq_country,proposed_roles,parent_if_any,why_included,source_url,confidence,status,seed_slug,primary_source_url,review_note
Google DeepMind,London,GB,MODEL_DEVELOPER|RESEARCH_LAB,Alphabet,Alphabet's AI lab; ships the Gemini Robotics vision-language-action family (Gemini Robotics 1.5 and Gemini Robotics-ER 1.5) as robot foundation models and publishes the underlying research.,https://deepmind.google/blog/gemini-robotics-15-brings-ai-agents-into-the-physical-world/,HIGH,seeded,google-deepmind,https://deepmind.google/blog/gemini-robotics-15-brings-ai-agents-into-the-physical-world/,Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ. Parent assertion awaits ownership and effective-date evidence.
Intrinsic,Mountain View,US,TOOLING_OPS_PROVIDER|INTEGRATOR,Alphabet,Alphabet's industrial-robotics software company; spun out of X in 2021 and folded into Google in Feb 2026; Flowstate is its industrial robot application platform.,https://x.company/projects/intrinsic/,HIGH,seeded,intrinsic,https://x.company/projects/intrinsic/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year. Parent assertion awaits ownership and effective-date evidence."
X Development (Alphabet X),Mountain View,US,RESEARCH_LAB,Alphabet,Alphabet's moonshot factory; incubated Intrinsic for five years before spinout and ran the Everyday Robots program.,https://x.company/projects/intrinsic/,HIGH,seeded,x-development-alphabet-x,https://x.company/projects/intrinsic/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year. Parent assertion awaits ownership and effective-date evidence."
Wing,Palo Alto,US,OEM|OPERATOR,Alphabet,Alphabet's drone-delivery subsidiary; builds and operates its own delivery UAS fleet. HQ needs confirmation.,https://wing.com/,MEDIUM,seeded,wing,https://wing.com/news/flytrex-wing-strategic-flight-coordination,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year. Parent assertion awaits ownership and effective-date evidence."
CapitalG,Mountain View,US,INVESTOR,Alphabet,Alphabet's independent growth fund; led Physical Intelligence's $600M Series B in Nov 2025 at a $5.6B post-money valuation.,https://www.bloomberg.com/news/articles/2025-11-20/robotics-startup-physical-intelligence-valued-at-5-6-billion-in-new-funding,MEDIUM,seeded,capitalg,https://www.capitalg.com/portfolio,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year. Parent assertion awaits ownership and effective-date evidence."
Apple,Cupertino,US,RESEARCH_LAB,,Apple ML Research published a lamp-like tabletop robot prototype; robotics was moved from the AI division into the hardware engineering group in 2025 ahead of a rumoured 2027 product.,https://www.macrumors.com/guide/apple-robot/,MEDIUM,seeded,apple,https://machinelearning.apple.com/research/elegnt-expressive-functional-movement,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
Zoox,Foster City,US,OEM|OPERATOR,Amazon,Amazon's purpose-built robotaxi subsidiary; operates driverless services in Las Vegas and other US cities.,https://finance.yahoo.com/technology/ai/articles/amazon-zoox-expands-robotaxi-las-121256497.html,MEDIUM,seeded,zoox,https://zoox.com/journal/10-years-of-building-zoox,Role confirmed; merged by canonical name or explicit alias. Parent assertion awaits ownership and effective-date evidence.
Covariant,Emeryville,US,MODEL_DEVELOPER,,Warehouse robot foundation-model developer; Amazon's own newsroom confirms it hired the founders and took a non-exclusive licence to Covariant's robotic foundation models in Aug 2024.,https://www.aboutamazon.com/news/company-news/amazon-covariant-ai-robots,HIGH,seeded,covariant,https://www.aboutamazon.com/news/company-news/amazon-covariant-ai-robots,Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ.
Amazon Industrial Innovation Fund,Seattle,US,INVESTOR,Amazon,Amazon's industrial venture arm; co-invested in Agility Robotics' $400M Series C (Mar 2025) and Dyna Robotics' $120M Series A (Sep 2025).,https://www.therobotreport.com/dyna-robotics-closes-120m-funding-round-to-scale-robotics-foundation-model/,MEDIUM,pending,,https://www.aboutamazon.com/what-we-do/amazon-industrial-innovation-fund,Primary company page opened; accessible content did not confirm the proposed robotics role. Further primary product or portfolio evidence is needed.
Motional,Boston,US,MODEL_DEVELOPER,Hyundai Motor Company,Hyundai/Aptiv robotaxi joint venture; Hyundai took majority control with a $475M investment after Aptiv cut its stake to 15%.,https://www.forbes.com/sites/bradtempleton/2024/01/31/aptiv-pulls-support-from-motional-robotaxi-joint-venture/,MEDIUM,seeded,motional,https://motional.com/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year. Parent assertion awaits ownership and effective-date evidence."
