name,segment
Applied Intuition,Autonomy software
Dyna Robotics,Robot foundation models
Anduril,Defense autonomy
Shield AI,Defense autonomy
Skild AI,Robot foundation models
Physical Intelligence,Robot foundation models
Covariant,Robot foundation models
1X,Humanoids
Sanctuary AI,Humanoids
Agility Robotics,Humanoids
Apptronik,Humanoids
Figure AI,Humanoids
Tesla Optimus,Humanoids
Unitree,Legged robots
AgiBot,Humanoids
Fourier,Humanoids
UBTech,Humanoids
Boston Dynamics,Legged robots
ANYbotics,Legged robots
Waymo,Autonomous vehicles
Zoox,Autonomous vehicles
Nuro,Autonomous vehicles
Wayve,Autonomous vehicles
Zipline,Delivery drones
Skydio,Drones
DJI,Drones
KUKA,Industrial robots
ABB,Industrial robots
FANUC,Industrial robots
Yaskawa,Industrial robots
Universal Robots,Cobots
Locus,Warehouse robotics
Symbotic,Warehouse robotics
Exotec,Warehouse robotics
GreyOrange,Warehouse robotics
Geek+,Warehouse robotics
AutoStore,Warehouse robotics
Ocado,Warehouse robotics
Intuitive Surgical,Surgical robotics
Deere,Agricultural robotics
Carbon Robotics,Agricultural robotics
Built Robotics,Construction robotics
Dusty Robotics,Construction robotics
Saildrone,Maritime autonomy
Viam,Robot operations
Foxglove,Robot operations
Formant,Robot operations
NVIDIA,Compute and simulation
Qualcomm,Compute
Harmonic Drive,Actuation
Nabtesco,Actuation
Hesai,Sensors
Ouster,Sensors
RoboSense,Sensors
Foxconn,Contract manufacturing
Amazon Robotics,Warehouse robotics
Mobile Industrial Robots,Warehouse robotics
Teradyne,Industrial automation
Google DeepMind,Robot foundation models
Toyota Research Institute,Robotics research
Honda Motor,Robotics research
Kawasaki Heavy Industries,Industrial robots
Mitsubishi Electric,Industrial robots
Omron,Industrial automation
