name,seed_slug,roles,hq_place,founding_year,verified_tickers,review_note
6 River Systems,six-river-systems,OEM,Waltham,,,Founding year missing
Abaka AI,abaka-ai,DATA_SIMULATION_PROVIDER,Palo Alto,,,Independent confirmation of provisional HQ; Founding year missing
Adamo,adamo,TOOLING_OPS_PROVIDER,,,,HQ place missing; Founding year missing
Aerones,aerones,OEM|OPERATOR,Riga,,,Founding year missing
AeroVironment,aerovironment,OEM,Arlington,1971,NASDAQ:AVAV,Independent confirmation of provisional HQ
Aethon,aethon,OEM,Pittsburgh,,,Independent confirmation of provisional HQ; Founding year missing
AGILOX,agilox,OEM,Neukirchen an der Vockla,,,Independent confirmation of provisional HQ; Founding year missing
Allegro MicroSystems,allegro-microsystems,CHIPMAKER|COMPONENT_SUPPLIER,Manchester,,,Independent confirmation of provisional HQ; Founding year missing
Alphabet,alphabet,INVESTOR|PLATFORM|RESEARCH_LAB,San Francisco Bay Area,,,Founding year missing
Amazon,amazon,INVESTOR|OPERATOR|PLATFORM|RESEARCH_LAB,Seattle,,,Founding year missing
Amazon Industrial Innovation Fund,amazon-industrial-innovation-fund,INVESTOR,Seattle,2022,,Independent confirmation of provisional HQ
Analogic,analogic,PLATFORM,,,,HQ place missing; Founding year missing
Andreessen Horowitz,andreessen-horowitz,INVESTOR,Menlo Park,2009,,Independent confirmation of provisional HQ
Ansys,ansys,DATA_SIMULATION_PROVIDER,Canonsburg,,,Independent confirmation of provisional HQ; Founding year missing
Ant Group,ant-group,PLATFORM,Hangzhou,,,Independent confirmation of provisional HQ; Founding year missing
Anyware Robotics,anyware-robotics,OEM,Fremont,,,Independent confirmation of provisional HQ; Founding year missing
Appen,appen,DATA_SIMULATION_PROVIDER,Sydney,1996,,Independent confirmation of provisional HQ
Apple,apple,RESEARCH_LAB,Cupertino,,NASDAQ:AAPL,Founding year missing
ArtiMinds Robotics,artiminds-robotics,TOOLING_OPS_PROVIDER,Karlsruhe,,,Independent confirmation of provisional HQ; Founding year missing
ATI Industrial Automation,ati-industrial-automation,COMPONENT_SUPPLIER,Apex,,,Founding year missing
Aurora Innovation,aurora-innovation,MODEL_DEVELOPER,Pittsburgh,2017,NASDAQ:AUR,Independent confirmation of provisional HQ
Auterion,auterion,TOOLING_OPS_PROVIDER,Zurich,,,Independent confirmation of provisional HQ; Founding year missing
Avride,avride,OEM,Austin,,,Independent confirmation of provisional HQ; Founding year missing
B Capital,b-capital,INVESTOR,Los Angeles,,,Independent confirmation of provisional HQ; Founding year missing
BALYO,balyo,OEM,Moissy-Cramayel,,,Independent confirmation of provisional HQ; Founding year missing
Banner Engineering,banner-engineering,COMPONENT_SUPPLIER,Minneapolis,,,Independent confirmation of provisional HQ; Founding year missing
