roster,name,confidence,proposed_roles,parent_if_any,primary_source_url,review_note
platforms-investors-labs.csv,Samsung NEXT,MEDIUM,INVESTOR,Samsung Electronics,https://www.samsungnext.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,SK Telecom,MEDIUM,INVESTOR,,https://www.sktelecom.com/en/press/press.do,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,Mirae Asset,MEDIUM,INVESTOR,,https://www.miraeasset.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,Xiaomi,MEDIUM,INVESTOR|PLATFORM,,https://www.mi.com/global/discover/article?id=2781,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,XPeng,MEDIUM,OEM|PLATFORM,,https://www.xpeng.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,XPeng Robotics (Pengyan Technology),MEDIUM,OEM,XPeng,https://www.xpeng.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,Alibaba Group,MEDIUM,INVESTOR|PLATFORM,,https://www.alibabagroup.com/en-US/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,Huawei,MEDIUM,PLATFORM,,https://www.huawei.com/en/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,Meituan,MEDIUM,INVESTOR|OPERATOR,,https://www.meituan.com/en-US/,"Primary URL reviewed; retrieval failed or returned HTTP 404. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,CATL,MEDIUM,INVESTOR,,https://www.catl.com/en/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,Hillhouse Investment,MEDIUM,INVESTOR,,https://www.hillhouseinvestment.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,IDG Capital,MEDIUM,INVESTOR,,https://www.idgcapital.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,Flexion Robotics,MEDIUM,MODEL_DEVELOPER,,https://www.flexionrobotics.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,WP Global Partners,MEDIUM,INVESTOR,,https://www.wpglobalpartners.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,Thrive Capital,MEDIUM,INVESTOR,,https://thrivecap.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,Index Ventures,MEDIUM,INVESTOR,,https://www.indexventures.com/companies/physical-intelligence/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,Accel,MEDIUM,INVESTOR,,https://www.accel.com/companies,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,Kleiner Perkins,MEDIUM,INVESTOR,,https://www.kleinerperkins.com/companies/,"Primary URL reviewed; retrieval failed or returned HTTP 404. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,KAIST Humanoid Robot Research Center,MEDIUM,RESEARCH_LAB,KAIST,https://hubolab.kaist.ac.kr/,"Primary URL reviewed; retrieval failed or returned HTTP None. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,Beijing Academy of Artificial Intelligence (BAAI),MEDIUM,MODEL_DEVELOPER|RESEARCH_LAB,,https://www.baai.ac.cn/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,Humanoid Robot (Shanghai) Co.,MEDIUM,OEM|RESEARCH_LAB,,https://www.openloong.com/,"Primary URL reviewed; retrieval failed or returned HTTP None. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,Tsinghua University Institute for Embodied Intelligence and Robotics,MEDIUM,RESEARCH_LAB,Tsinghua University,https://www.tsinghua.edu.cn/en/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,Kepler Robotics,MEDIUM,OEM,,https://www.gotokepler.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
