name,hq_city,hq_country,proposed_roles,parent_if_any,why_included,source_url,confidence,status,seed_slug,primary_source_url,review_note
Leader Harmonious Drive Systems (Leaderdrive),Suzhou,CN,COMPONENT_SUPPLIER,,Named as China's largest robotic joint maker and the only Chinese harmonic drive maker in profitable mass production for humanoids; direct competitor to seeded Harmonic Drive.,https://pandaily.com/unitree-price-war-leaderdrive-harmonic-jul2026,MEDIUM,seeded,leader-harmonious-drive-systems-leaderdrive,https://www.leaderdrive.com/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
Laifual Drive,Hangzhou,CN,supplier;reducers-strain-wave,,Listed among leading Chinese harmonic gear drive makers with a stated humanoid-robotics focus; Harmonic Drive competitor set.,https://equalocean.com/analysis/2023083020126,MEDIUM,pending,,https://www.laifualgroup.com/,Primary company page opened; accessible content did not confirm the proposed robotics role. Further primary product or portfolio evidence is needed.
Sumitomo Drive Technologies,Tokyo,JP,COMPONENT_SUPPLIER,Sumitomo Heavy Industries,"Publishes an E-Cyclo strain wave gearbox line positioned against general strain wave competitors, and the Cyclo cycloidal range; named a top-three cycloidal maker.",https://us.sumitomodrive.com/en-us/motion-control/strain-wave-harmonic-gearboxes,HIGH,seeded,sumitomo-drive-technologies,https://us.sumitomodrive.com/en-us/motion-control/strain-wave-harmonic-gearboxes,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year. Parent assertion awaits ownership and effective-date evidence."
Nidec-Shimpo,Kyoto,JP,supplier;reducers-planetary;reducers-cycloidal,Nidec,Named as a Harmonic Drive competitor manufacturing variable speed drives and precision reducers.,https://discovery.patsnap.com/topic/strain-wave-gearing/,MEDIUM,pending,,https://www.nidec.com/en/nidec-drivetechnology/,Primary company page opened; accessible content did not confirm the proposed robotics role. Further primary product or portfolio evidence is needed.
Spinea,Presov,SK,COMPONENT_SUPPLIER,Nabtesco,"Slovak cycloidal reducer maker named as a Nabtesco competitor on cost and delivery; acquired by Nabtesco in 2023, so it maps as a subsidiary of a seeded entity.",https://nextfinancial.substack.com/p/the-joint-problem-who-owns-the-most,MEDIUM,seeded,spinea,https://www.spinea.com/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year. Parent assertion awaits ownership and effective-date evidence."
Zhejiang Shuanghuan Driveline,Taizhou,CN,supplier;reducers-cycloidal;reducers-strain-wave,,Named as China's RV gearbox leader with >25% domestic share and as a reducer supplier to humanoid programmes.,https://faxiangongchang.com/en/reports/china-humanoid-robot-supply-chain-2026,MEDIUM,pending,,https://www.gearsnet.com/,Primary company page opened; accessible content did not confirm the proposed robotics role. Further primary product or portfolio evidence is needed.
Zhongda Leader Intelligent Transmission (ZD),Ningbo,CN,supplier;reducers-cycloidal,,Named alongside Leaderdrive as a reducer supplier in humanoid supply-chain reporting.,https://optimusk.blog/blog/tesla-optimus-suppliers/,LOW,skipped,,,LOW confidence: skipped as instructed.
Zhaowei Machinery & Electronics,Shenzhen,CN,COMPONENT_SUPPLIER,,Named in China humanoid supply-chain reporting for a drive business plus an 800m yuan dexterous-hand industrial park.,https://faxiangongchang.com/en/reports/china-humanoid-robot-supply-chain-2026,MEDIUM,seeded,zhaowei-machinery-electronics,https://www.zwgearbox.com/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
Guomao Group,Changzhou,CN,supplier;reducers-cycloidal,,Named with Sumitomo and Nabtesco as one of the top three cycloidal reducer makers by global share.,https://nextfinancial.substack.com/p/the-joint-problem-who-owns-the-most,MEDIUM,pending,,https://www.guomaogroup.com/,Primary company page opened; accessible content did not confirm the proposed robotics role. Further primary product or portfolio evidence is needed.
Schaeffler,Herzogenaurach,DE,supplier;bearings;reducers-strain-wave,,Named as a Harmonic Drive competitor supplying rolling bearings and linear products into industrial motion.,https://discovery.patsnap.com/topic/strain-wave-gearing/,MEDIUM,pending,,https://www.schaeffler.com/en/products-and-solutions/industrial/industry-solutions/robotics/,Primary company page opened; accessible content did not confirm the proposed robotics role. Further primary product or portfolio evidence is needed.
Wittenstein,Igersheim,DE,supplier;reducers-planetary,,Precision planetary gearbox maker (alpha) in the robotics gearbox competitor set.,https://www.cmgear.us/feeds/blog/best-planetary-gear-manufacture,LOW,skipped,,,LOW confidence: skipped as instructed.
Neugart,Kippenheim,DE,COMPONENT_SUPPLIER,,Publishes a robot-gearbox portfolio of precision planetary gearboxes for delta and pick-and-place robots.,https://www.neugart.com/en-us/robot-gearboxes,HIGH,seeded,neugart,https://www.neugart.com/en-us/robot-gearboxes,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
STOBER,Pforzheim,DE,COMPONENT_SUPPLIER,,Publishes an inline planetary gearbox line for the robotics industry.,https://www.stober.com/industries-and-applications/robotics-industry/,HIGH,seeded,stober,https://www.stober.com/industries-and-applications/robotics-industry/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
GAM Enterprises,Mount Prospect,US,COMPONENT_SUPPLIER,,Publishes a gearbox range specifically for robotics and automation.,https://www.gamweb.com/robotics.html,HIGH,seeded,gam-enterprises,https://www.gamweb.com/robotics.html,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
Apex Dynamics,Yunlin,TW,supplier;reducers-planetary,,Taiwanese precision planetary gearbox maker in the robotics gearbox competitor set.,https://www.cmgear.us/feeds/blog/best-planetary-gear-manufacture,LOW,skipped,,,LOW confidence: skipped as instructed.
Kollmorgen,Radford,US,COMPONENT_SUPPLIER,Regal Rexnord,"Publishes a robotics solutions line and robot-ready frameless servo motors; states its frameless torque motors are used in industrial, collaborative and surgical robot joints.",https://www.kollmorgen.com/en-us/solutions/robotics,HIGH,seeded,kollmorgen,https://www.kollmorgen.com/en-us/solutions/robotics,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year. Parent assertion awaits ownership and effective-date evidence."
Regal Rexnord,Milwaukee,US,supplier;motors;actuators,,Parent of Kollmorgen and Portescap; carries the motion-control businesses supplying robot joints.,https://en.wikipedia.org/wiki/Regal_Rexnord,LOW,skipped,,,LOW confidence: skipped as instructed.
Tecnotion,Almelo,NL,COMPONENT_SUPPLIER,,Direct-drive torque and linear motor supplier named for robotics and semiconductor precision motion.,https://www.mosrac.com/resources/blog/best-frameless-torque-motor-manufacturers.html,MEDIUM,seeded,tecnotion,https://www.tecnotion.com/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
Allient (Allied Motion Technologies),Amherst,US,supplier;motors;actuators,,Precision motion supplier named in the frameless/robot motor competitor set.,https://www.mosrac.com/resources/blog/best-frameless-torque-motor-manufacturers.html,MEDIUM,pending,,https://www.allient.com/,Primary company page opened; accessible content did not confirm the proposed robotics role. Further primary product or portfolio evidence is needed.
Moog,East Aurora,US,supplier;motors;actuators,,Precision motion-control manufacturer named in the robot servo/frameless motor competitor set.,https://www.mosrac.com/resources/blog/best-frameless-torque-motor-manufacturers.html,MEDIUM,pending,,https://www.moog.com/markets/industrial/robotics.html,Primary company page opened; accessible content did not confirm the proposed robotics role. Further primary product or portfolio evidence is needed.
Faulhaber,Schonaich,DE,supplier;motors;micro-drives,,Miniature and micro drive maker in the robot servo motor competitor set; relevant to hands and wrists.,https://www.mosrac.com/resources/blog/best-frameless-torque-motor-manufacturers.html,LOW,skipped,,,LOW confidence: skipped as instructed.
Nidec,Kyoto,JP,COMPONENT_SUPPLIER,,"Motor group and parent of Nidec-Shimpo, named in the precision reducer competitor set.",https://discovery.patsnap.com/topic/strain-wave-gearing/,MEDIUM,seeded,nidec,https://www.nidec.com/en/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
Shenzhen Inovance Technology,Shenzhen,CN,COMPONENT_SUPPLIER|OEM,,Named as a motor supplier in Tesla Optimus supply-chain reporting; large Chinese servo vendor.,https://optimusk.blog/blog/tesla-optimus-suppliers/,MEDIUM,seeded,shenzhen-inovance-technology,https://www.inovance.com/global/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
