name,hq_city,hq_country,proposed_roles,parent_if_any,why_included,source_url,confidence,status,seed_slug,primary_source_url,review_note
Scale AI,San Francisco,US,DATA_SIMULATION_PROVIDER,,"Runs a generalist robotics data engine; named as one of five physical-AI infrastructure platforms for data operations, with robot-data customers among frontier labs.",https://www.therobotreport.com/5-physical-ai-infrastructure-platforms-shaping-robotics-in-2026/,MEDIUM,seeded,scale-ai,https://scale.com/robotics,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
Encord,London,GB,DATA_SIMULATION_PROVIDER,,"Self-describes as the multimodal data layer for physical AI: manages, curates, annotates and aligns petabytes of sensor, video and text data for robotics, AV and drone teams.",https://encord.com/physical-ai-data-services/,HIGH,seeded,encord,https://encord.com/physical-ai-data-services/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
Labelbox,San Francisco,US,DATA_SIMULATION_PROVIDER,,"Horizontal data-labeling platform used by ML teams for image, video and sensor annotation; listed among the physical-AI labeling platform set.",https://encord.com/blog/data-labeling-platforms-for-physical-ai/,MEDIUM,pending,,https://labelbox.com/solutions/robotics/,Primary company page opened; accessible content did not confirm the proposed robotics role. Further primary product or portfolio evidence is needed.
Kognic,Gothenburg,SE,DATA_SIMULATION_PROVIDER,,Annotation platform purpose-built for autonomous driving with native 3D/LiDAR and sensor fusion; sells to OEMs and Tier-1s rather than building robots.,https://www.kognic.com/,HIGH,seeded,kognic,https://www.kognic.com/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
Deepen AI,San Francisco,US,DATA_SIMULATION_PROVIDER,,Specialist in autonomous-driving and ADAS annotation plus multi-sensor calibration tooling sold to autonomy developers.,https://www.cbinsights.com/company/deepen-ai,MEDIUM,seeded,deepen-ai,https://www.deepen.ai/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
Segments.ai,Leuven,BE,DATA_SIMULATION_PROVIDER,,"Synchronized 2D + 3D annotation aimed at robotics perception stacks combining point clouds, video and sensor fusion; also publishes the robotics software-tools landscape.",https://segments.ai/blog/software-tools-for-robotics-landscape/,MEDIUM,seeded,segments-ai,https://segments.ai/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
iMerit,San Jose,US,DATA_SIMULATION_PROVIDER,,India-rooted managed annotation workforce handling high-accuracy image/video labeling; named in the 2026 robot-training-data landscape as annotation-adjacent collection.,https://www.dreamvu.ai/blog/robot-training-data-companies-2026,MEDIUM,seeded,imerit,https://imerit.net/robotics/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
Sama,San Francisco,US,DATA_SIMULATION_PROVIDER,,Managed data-annotation provider for enterprise foundation-model and safety-critical computer-vision programs.,https://www.datasciencesociety.net/7-best-data-annotation-companies-for-physical-ai-robotics-in-2026/,MEDIUM,seeded,sama,https://www.sama.com/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
Appen,Sydney,AU,DATA_SIMULATION_PROVIDER,,Long-running training-data vendor; has supported robotics programs for robot builders and contributed to egocentric datasets used in robot perception.,https://www.datasciencesociety.net/7-best-data-annotation-companies-for-physical-ai-robotics-in-2026/,MEDIUM,seeded,appen,https://www.appen.com/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
Shaip,Louisville,US,DATA_SIMULATION_PROVIDER,Ubiquity,"End-to-end data collection, motion capture and annotation pipelines for humanoid and embodied-AI teams; became part of Ubiquity in 2026.",https://www.datasciencesociety.net/7-best-data-annotation-companies-for-physical-ai-robotics-in-2026/,MEDIUM,seeded,shaip,https://www.shaip.com/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year. Parent assertion awaits ownership and effective-date evidence."
Objectways,Cerritos,US,DATA_SIMULATION_PROVIDER,,"Managed annotation and egocentric data-collection service for multimodal and 3D LiDAR projects, delivered as a partner service to robotics teams.",https://www.labellerr.com/blog/top-egocentric-data-providers-robotics/,MEDIUM,seeded,objectways,https://objectways.com/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
Labellerr,Chandigarh,IN,DATA_SIMULATION_PROVIDER,,Full-stack annotation platform built for robotics and physical-AI teams taking raw teleoperation sessions to ML-ready training data.,https://www.labellerr.com/blog/top-robotics-annotation-platforms/,LOW,skipped,,,LOW confidence: skipped as instructed.
Abaka AI,Palo Alto,US,DATA_SIMULATION_PROVIDER,,"Data and infrastructure partner covering collection, curation, annotation, training and evaluation, with a named embodied-AI vertical.",https://www.crunchbase.com/organization/abaka-83c8,MEDIUM,seeded,abaka-ai,https://www.abaka.ai/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
XDOF,Berkeley,US,DATA_SIMULATION_PROVIDER,,"Robotics data-infrastructure company selling teleoperation data pipelines, collection rigs and annotation to frontier labs; launched from stealth with $70M.",https://siliconangle.com/2026/06/17/robotic-teleoperation-data-startup-xdof-launches-70m-funding/,MEDIUM,pending,,https://www.xdof.ai/,Primary company page opened; accessible content did not confirm the proposed robotics role. Further primary product or portfolio evidence is needed.
Mecka,Toronto,CA,DATA_SIMULATION_PROVIDER,,"Self-describes as the data and deployment layer for physical AI, capturing and structuring real-world activity into datasets robotics teams train on.",https://www.mecka.ai/,HIGH,seeded,mecka,https://www.mecka.ai/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
Micro1,San Francisco,US,DATA_SIMULATION_PROVIDER,,Gig-worker platform in 50+ countries recording household task video at scale as robot training data.,https://www.teahose.com/guides/robotics-training-data,MEDIUM,seeded,micro1,https://www.micro1.ai/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
Cortex AI,,US,DATA_SIMULATION_PROVIDER,,"Builds large-scale real-world workplace robot and egocentric datasets: human video, manipulator and humanoid trajectories, and human-in-the-loop remote-operator rollouts.",https://www.teahose.com/guides/robotics-training-data,LOW,skipped,,,LOW confidence: skipped as instructed.
DataX Power,,SG,DATA_SIMULATION_PROVIDER,,APAC-native managed robot-training-data programs; ranked in the 2026 robot training-data landscape for humanoid and VLA readiness.,https://www.dreamvu.ai/blog/robot-training-data-companies-2026,LOW,skipped,,,LOW confidence: skipped as instructed.
MANUS,Geldrop,NL,DATA_SIMULATION_PROVIDER,,"Sells data gloves for dexterous teleoperation and humanoid robot training, capturing finger joint angles and hand pose for direct mapping to robot hands.",https://www.manus-meta.com/robotics,HIGH,seeded,manus,https://www.manus-meta.com/robotics,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
BitRobot Network,Singapore,SG,DATA_SIMULATION_PROVIDER,FrodoBots Lab,Incentivized network of subnets for embodied-AI research that has released large open sidewalk-robotics datasets and hosts humanoid datasets for third-party labs.,https://bitrobot.ai/,MEDIUM,seeded,bitrobot-network,https://bitrobot.ai/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year. Parent assertion awaits ownership and effective-date evidence."
Beijing Innovation Center of Human Robotics,Beijing,CN,DATA_SIMULATION_PROVIDER,,Also known as X-Humanoid; runs a state-backed robot data-collection facility feeding training data to Chinese embodied-AI developers.,https://restofworld.org/2026/china-robots-training-centers-workers/,MEDIUM,seeded,beijing-humanoid-robot-innovation-center-x-humanoid,https://www.x-humanoid.com/,"Role confirmed; merged by canonical name or explicit alias. Metadata review pending: HQ, founding year."
